90 #SUP: 8416
1 90 #SUP: 4488
2 90 #SUP: 3928
5 90 #SUP: 3796
6 90 #SUP: 3292
7 90 #SUP: 840
11 90 #SUP: 3268
12 90 #SUP: 2684
13 90 #SUP: 2320
24 90 #SUP: 5040
31 90 #SUP: 3808
36 90 #SUP: 8200
38 90 #SUP: 6824
41 90 #SUP: 5880
53 90 #SUP: 1232
55 90 #SUP: 3552
63 90 #SUP: 2480
67 90 #SUP: 5316
71 90 #SUP: 5076
90 94 #SUP: 8216
90 97 #SUP: 7768
90 104 #SUP: 3968
90 114 #SUP: 2424
90 120 #SUP: 4064
1 5 90 #SUP: 2084
1 6 90 #SUP: 1732
1 12 90 #SUP: 1272
1 13 90 #SUP: 1288
1 31 90 #SUP: 3688
1 38 90 #SUP: 3008
1 41 90 #SUP: 4176
1 55 90 #SUP: 1640
1 67 90 #SUP: 3780
1 71 90 #SUP: 3540
1 90 97 #SUP: 3960
1 90 104 #SUP: 3152
1 90 120 #SUP: 1216
2 6 90 #SUP: 1560
2 11 90 #SUP: 1752
2 24 90 #SUP: 3304
2 36 90 #SUP: 3904
2 55 90 #SUP: 1912
2 90 94 #SUP: 3920
2 90 114 #SUP: 1824
3 55 90 #SUP: 452
5 12 90 #SUP: 1138
5 13 90 #SUP: 932
5 24 90 #SUP: 2180
5 31 90 #SUP: 1692
5 38 90 #SUP: 3020
5 41 90 #SUP: 2764
5 55 90 #SUP: 1652
5 63 90 #SUP: 816
5 67 90 #SUP: 2444
5 71 90 #SUP: 2324
5 90 94 #SUP: 3748
5 90 97 #SUP: 3600
5 90 104 #SUP: 1924
5 90 120 #SUP: 1704
6 11 90 #SUP: 1323
6 12 90 #SUP: 884
6 13 90 #SUP: 932
6 24 90 #SUP: 1894
6 31 90 #SUP: 1636
6 36 90 #SUP: 3236
6 38 90 #SUP: 2704
6 41 90 #SUP: 2448
6 53 90 #SUP: 457
6 55 90 #SUP: 1148
6 67 90 #SUP: 1986
6 71 90 #SUP: 1866
6 90 94 #SUP: 3242
6 90 97 #SUP: 3156
6 90 104 #SUP: 1418
6 90 114 #SUP: 712
6 90 120 #SUP: 1644
7 24 90 #SUP: 774
7 38 90 #SUP: 716
7 63 90 #SUP: 792
7 67 90 #SUP: 462
7 71 90 #SUP: 462
7 90 97 #SUP: 660
7 90 114 #SUP: 792
11 24 90 #SUP: 1676
11 36 90 #SUP: 3244
11 53 90 #SUP: 556
11 55 90 #SUP: 1540
11 90 94 #SUP: 3260
11 90 114 #SUP: 1096
12 13 90 #SUP: 852
12 24 90 #SUP: 1816
12 38 90 #SUP: 1932
12 41 90 #SUP: 1548
12 55 90 #SUP: 972
12 63 90 #SUP: 1296
12 67 90 #SUP: 1772
12 71 90 #SUP: 1772
12 90 97 #SUP: 2384
12 90 104 #SUP: 1212
12 90 120 #SUP: 1308
13 24 90 #SUP: 1464
13 31 90 #SUP: 1208
13 38 90 #SUP: 2016
13 41 90 #SUP: 1216
13 55 90 #SUP: 624
13 67 90 #SUP: 1680
13 71 90 #SUP: 1584
13 90 94 #SUP: 2128
13 90 97 #SUP: 2224
13 90 120 #SUP: 1404
24 31 90 #SUP: 1776
24 36 90 #SUP: 4824
24 38 90 #SUP: 3552
24 41 90 #SUP: 2864
24 55 90 #SUP: 2288
24 63 90 #SUP: 2288
24 67 90 #SUP: 2084
24 71 90 #SUP: 2036
24 90 94 #SUP: 4840
24 90 97 #SUP: 4688
24 90 114 #SUP: 2192
31 36 90 #SUP: 3616
31 38 90 #SUP: 2408
31 41 90 #SUP: 3544
31 55 90 #SUP: 1056
31 67 90 #SUP: 3060
31 71 90 #SUP: 3012
31 90 97 #SUP: 3208
31 90 104 #SUP: 2432
31 90 120 #SUP: 1224
36 39 90 #SUP: 1592
36 53 90 #SUP: 1220
36 55 90 #SUP: 3336
36 90 94 #SUP: 8192
36 90 97 #SUP: 7576
36 90 100 #SUP: 3056
36 90 114 #SUP: 2400
38 41 90 #SUP: 4568
38 55 90 #SUP: 3080
38 63 90 #SUP: 2192
38 67 90 #SUP: 4424
38 71 90 #SUP: 4184
38 90 94 #SUP: 6632
38 90 97 #SUP: 6464
38 90 104 #SUP: 3480
38 90 120 #SUP: 3848
41 55 90 #SUP: 2840
41 67 90 #SUP: 3720
41 71 90 #SUP: 3528
41 90 94 #SUP: 5688
41 90 97 #SUP: 5232
41 90 104 #SUP: 3320
44 90 97 #SUP: 1112
53 55 90 #SUP: 672
53 90 94 #SUP: 1228
55 58 90 #SUP: 568
55 67 90 #SUP: 1972
55 71 90 #SUP: 1732
55 90 94 #SUP: 3352
55 90 97 #SUP: 2904
55 90 104 #SUP: 1856
55 90 114 #SUP: 696
55 90 120 #SUP: 1232
63 67 90 #SUP: 1440
63 71 90 #SUP: 1392
67 71 90 #SUP: 4226
67 90 97 #SUP: 4876
67 90 104 #SUP: 3664
67 90 120 #SUP: 2412
71 90 97 #SUP: 4636
71 90 104 #SUP: 3472
71 90 120 #SUP: 2388
90 94 114 #SUP: 2416
90 94 128 #SUP: 3160
90 97 104 #SUP: 3560
90 97 108 #SUP: 2096
90 97 120 #SUP: 3976
90 97 123 #SUP: 856
90 104 120 #SUP: 1560
1 5 12 90 #SUP: 546
